,nombre,company,cargo,más info,speaker_bio,url_linkedin,url_TW
4,Ignacio Llopis,IoTsens,Managing Director,https://www.des-madrid.com/agenda-2021-speakers/ignacio-llopis/,"Ingeniero Técnico Industrial por la Universidad Pompeu Fabra de Barcelona ELISAVA y M.B.A. por la Escuela de Negocios M.C.N.Y. de Nueva York. Comienza su carrera profesional en Porcelanosa. Tras su año de postgrado en EEUU se instala en Silicon Valley especializándose en el mundo de la tecnología donde ha sido fundador de varias startup. Hoy en día es Managing Director de IOTSENS, empresa especializada en soluciones de internet de las cosas, big data e inteligencia artificial.",https://www.linkedin.com/in/ignacio-llopis-57a85423/?originalSubdomain=es,https://twitter.com/@ignaciollopis
5,Ignacio Manrique De Lara,BeeDigital,CMO,https://www.des-madrid.com/agenda-2021-speakers/ignacio-manrique-de-lara/,I have actively participated on the Digital Transformation of Páginas Amarillas to became the leading Digital Marketing Agency for SMEs and SOHO: Bee DIGITAL. Now we have started the second Transformation with the use of IA,https://www.linkedin.com/in/ignaciomanriquedelara/,TW no disponible
6,Ignacio Villoch,Kamiwaza 2020 / La Aventura de Innovar,Founder,https://www.des-madrid.com/agenda-2021-speakers/ignacio-villoch/,Nacho Villoch is a recognized generator of contents on Innovation and Digital Transformation. He has lived and worked in 4 continents in management positions of business development.,https://www.linkedin.com/in/ignaciovilloch/,https://twitter.com/@Capitancook
7,Inês Pereira,Ironhack,Enterprise Account Executive,https://www.des-madrid.com/agenda-2021-speakers/ines-pereira/,"Inês is an international Enterprise consultant, on a mission to help companies improve their talent management strategy with tech transformative solutions, from finding the right Tech Talent to upskilling/reskilling workforces and increasing diversity on teams.",https://www.linkedin.com/in/inesofiapereira/,TW no disponible
8,Ismael El-Qudsi,Socialpubli.com,CEO,https://www.des-madrid.com/agenda-2021-speakers/ismael-el-qudsi/,,no disponible,no disponible
9,Itziar de Lecuona,Universitat de Barcelona (UB),PhD,https://www.des-madrid.com/agenda-2021-speakers/itziar-de-lecuona/,"Associate Professor Department of Medicine and Director of the Bioethics and Law Observatory- UNESCO Chair in Bioethics at the University of Barcelona; Her main lines of research are the ethical, legal and societal issues of biomedicine and biotechnology including the use of emergent technologies (AI, Big Data i.e.) in healthcare. Past member of the EITHealth ELSi Board and of the multidisciplinary group of the Ministery of Science and Innovation for scientific issues of COVID-19. ",https://www.linkedin.com/in/itziar-de-lecuona-phd-9a440516/,https://twitter.com/@notifications
10,Ivan Burgos,Porsche,Connected Car Manager / Paid Social & Content Manager,https://www.des-madrid.com/agenda-2021-speakers/ivan-burgos/,"Ivan es responsable de las apps y servicios digitales de Porsche para España y Portugal, así como todo lo relativo a las tecnologías Connected car.",https://www.linkedin.com/in/ivanburgos/,https://twitter.com/@ibm73
11,Ivan Manzanares Recio,Fundación de la Universidad Autónoma de Madrid,Director técnico del Centro de Apoyo a la Innovación y Transferencia de Conocimiento (CAITEC),https://www.des-madrid.com/agenda-2021-speakers/ivan-manzanares-recio/,"Licenciado Superior en Ciencias Químicas por la UAM. Tiene más de 20 años de experiencia en transferencia y gestión del conocimiento universitario, cátedras universitarias, procesos de contratación y valorización de la ciencia, así como en el fomento, creación y aceleración de empresas basadas en el conocimiento universitario.",https://www.linkedin.com/in/ivan-manzanares-recio-a918a654,https://twitter.com/@ivan_manzanares
12,Iván Sanchez,Sanitas,Chief Information Security Officer (CISO),https://www.des-madrid.com/agenda-2021-speakers/ivan-sanchez/,"Senior Cybersecurity and Information Protection professional with a track record in global organizations (Consulting, Telco, Logistics, Insurance), providing strategic advice to CxO & Executive Board. Ivan currently serves as CISO of Europe & LatAm for Sanitas, part of Bupa Group.With a strong background in Information Security Management & Strategy, Cybersecurity Operations and Threat Intelligence, Ivan holds the CISA, CISM, CISSP, ISO 27001 Lead Auditor and ITIL v2 certifications.",https://www.linkedin.com/in/ivansanchezlopez/,https://twitter.com/@ivansanlop
13,Ivana Gligoric,California Institute of Integral Studies,Transformation Wizard,https://www.des-madrid.com/agenda-2021-speakers/ivana-gligoric/,"Ivana is an internationally recognized advisor, speaker, and author specializing in transformation and growth. As a fast-paced environment expert, she brings a unique perspective from the Olympics. The Olympics grow from a small organization of tens of employees to reach 9,000 four years later, while during the Games Workforce reaches 200,000. That is growth at the pace that not many businesses experience, and Ivana advised and helped many teams and organizations grow across four continents.",https://www.linkedin.com/in/ivanagligoric/,TW no disponible
14,Jacob Benbunan,Saffron Brand Consultants,CEO & Co-founder,https://www.des-madrid.com/agenda-2021-speakers/jacob-benbunan/,"Jacob is the co-founder and CEO of Saffron Brand Consultants. He champions the global, multi-cultural and one-team approach that Saffron has embraced since the very beginning.",https://www.linkedin.com/in/jacob-benbunan-239413/,TW no disponible
